Data,sarimax,sarimax_lo,sarimax_hi,modelo2,modelo2_lo,modelo2_hi,media_ensemble
2026-05-01,48560.12139865852,47239.86008066906,49880.38271664798,47732.803442254364,46850.10196552082,48615.50491898791,48146.462420456446
2026-06-01,47133.73364834295,45386.729480469265,48880.73781621664,46728.84245279603,45680.59219295288,47777.09271263918,46931.28805056949
2026-07-01,46942.589665208114,44918.70738018706,48966.47195022917,46527.32185634942,45389.140561788816,47665.50315091003,46734.95576077877
2026-08-01,47685.16033401144,45454.93203057799,49915.388637444885,47459.141724559566,46253.8583672044,48664.425081914735,47572.1510292855
2026-09-01,48140.37349637966,45743.540526554134,50537.206466205185,48144.885814338,46881.559419126046,49408.21220954995,48142.62965535883
2026-10-01,49411.989973250005,46873.179162226435,51950.800784273575,49203.286027090115,47886.439787977695,50520.132266202534,49307.63800017006
2026-11-01,49315.857607130514,46651.35081286672,51980.364401394305,49343.9178791904,47976.36417464548,50711.471583735314,49329.887743160456
2026-12-01,49581.54675159608,46802.6702042101,52360.42329898205,49576.43107573251,48160.25018386767,50992.611967597346,49578.98891366429
2027-01-01,50142.6297571739,47257.616050823315,53027.64346352448,49321.610599163825,47858.51651921199,50784.70467911566,49732.12017816886
2027-02-01,49086.71618666755,46101.789405584546,52071.64296775056,49176.670821999454,47668.158548328065,50685.18309567084,49131.6935043335
2027-03-01,50581.751847736254,47501.7801721306,53661.723523341905,50517.60842941073,48965.01975649343,52070.19710232803,50549.68013857349
2027-04-01,50500.74003205766,47329.660972230144,53671.81909188518,49871.92889941845,48276.48620595572,51467.37159288119,50186.33446573806
